title;price;url;location
Volkswagen Transporter Bestel 2.5 TDI 96KW DC 2007;€ 6.250,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1550940684-volkswagen-transporter-bestel-2-5-tdi-96kw-dc-2007.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Stein158 km
Volkswagen Transporter 2.5 TDI 130PK LANG LUXE DUBBELE CABIN;€ 5.845,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1547771281-volkswagen-transporter-2-5-tdi-130pk-lang-luxe-dubbele-cabin.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Drachten110 km
Vw TRANSPORTER 2.5 TDI 174 PK LANG Airco/Cruise/Dvd/Navi/NAP;€ 4.250,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1550479901-vw-transporter-2-5-tdi-174-pk-lang-airco-cruise-dvd-navi-nap.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Badhoevedorp141 km
VW Transporter - NAP - Automaat - Lang - DB - Airco - Cruise;€ 14.500,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1528563413-vw-transporter-nap-automaat-lang-db-airco-cruise.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Veldhoven136 km
Volkswagen Transporter Kombi 2.0 TDI L1H1 180pk Airco Btw /;€ 10.950,00;https://www.marktplaats.nl/a/auto-s/volkswagen/m1545058586-volkswagen-transporter-kombi-2-0-tdi-l1h1-180pk-airco-btw.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Albergen16 km
Volkswagen Transporter DC 2.5 TDI 96KW 2007 Marge NWE APK;€ 6.950,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1537161546-volkswagen-transporter-dc-2-5-tdi-96kw-2007-marge-nwe-apk.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Reeuwijk147 km
Transporter Automaat 174 pk 2,5 liter TDI;€ 4.750,00;https://www.marktplaats.nl/a/auto-s/volkswagen/m1540674703-transporter-automaat-174-pk-2-5-liter-tdi.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Jorwert126 km
Volkswagen Transporter 1.9 TDI 300T.....;€ 3.650,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1548271298-volkswagen-transporter-1-9-tdi-300t.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Lienden97 km
Volkswagen TRANSPORTER 1.9 TDI 2008 Airco Nieuwe Distrbutie;€ 3.250,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551250946-volkswagen-transporter-1-9-tdi-2008-airco-nieuwe-distrbutie.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;'s-Hertogenbosch121 km
VW Transporter 2007 Grijs ROLSTOELBUS 2,5 l;€ 11.000,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551243218-vw-transporter-2007-grijs-rolstoelbus-2-5-l.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Putten84 km
Volkswagen Transporter 1.9 TDI 300 T800;€ 3.350,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551222094-volkswagen-transporter-1-9-tdi-300-t800.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Assendelft144 km
Volkswagen Transporter 2.5 TDI T-edition (bj 2009);€ 6.750,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551201216-volkswagen-transporter-2-5-tdi-t-edition-bj-2009.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Kootwijkerbroek81 km
Volkswagen Transporter 2.5 TDI 300 4Motion Highline DC;€ 4.650,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551200713-volkswagen-transporter-2-5-tdi-300-4motion-highline-dc.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Boxtel128 km
vw transporter T5 op BENZINE !!!;€ 6.000,00;https://www.marktplaats.nl/a/auto-s/volkswagen/m1538173925-vw-transporter-t5-op-benzine.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Hulshorst78 km
Volkswagen Transporter 2.0 TDI L2H1 Com. DC Navi 18 inch vel;€ 9.890,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1543282538-volkswagen-transporter-2-0-tdi-l2h1-com-dc-navi-18-inch-vel.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Venlo108 km
Volkswagen Transporter 1.9 TDI Dubbele Cabine Airco;€ 4.990,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1545397501-volkswagen-transporter-1-9-tdi-dubbele-cabine-airco.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Venlo108 km
Volkswagen Transporter 2.5 TDI 340 MHD LEER! CRUISE! AIRCO!;€ 7.240,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551158033-volkswagen-transporter-2-5-tdi-340-mhd-leer-cruise-airco.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Dongen147 km
Volkswagen Transporter Bestel 1.9 D 75KW 2008;€ 6.450,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1548442500-volkswagen-transporter-bestel-1-9-d-75kw-2008.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Alblasserdam155 km
Volkswagen Transporter 2.5 TDI 340 Highline DC CARAVELLE BOM;€ 7.500,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551087414-volkswagen-transporter-2-5-tdi-340-highline-dc-caravelle-bom.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Oosterwolde90 km
Volkswagen Transporter 2.5 TDI Dubbel Cabine 2005 Airco;€ 2.250,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1549439125-volkswagen-transporter-2-5-tdi-dubbel-cabine-2005-airco.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Ruinerwold66 km
Volkswagen Transporter 2.5 TDI 130PK * DC * Kort * Cruise *;€ 4.450,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551039326-volkswagen-transporter-2-5-tdi-130pk-dc-kort-cruise.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Zwaag130 km
Volkswagen Transporter 2.5 TDI 340 L2H1 Airco Parksens. trek;€ 6.900,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551018644-volkswagen-transporter-2-5-tdi-340-l2h1-airco-parksens-trek.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Surhuisterveen113 km
Volkswagen Transporter 2.5 TDI DC Caravelle MARGE - Airco, N;€ 8.900,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1551010318-volkswagen-transporter-2-5-tdi-dc-caravelle-marge-airco-n.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Langeveen26 km
Volkswagen Transporter 1.9 TDI 340 Trendline DC Nette staat;€ 3.750,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1544494802-volkswagen-transporter-1-9-tdi-340-trendline-dc-nette-staat.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Groenlo27 km
Volkswagen Transporter Multivan 2.5 TDI L1H1 Comfortline per;€ 4.999,00;https://www.marktplaats.nl/a/auto-s/volkswagen/m1550984584-volkswagen-transporter-multivan-2-5-tdi-l1h1-comfortline-per.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Tilburg141 km
Volkswagen Transporter 2.0 TDI L2H1 DC Trendline 1E EIGENAAR;€ 7.250,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1540481292-volkswagen-transporter-2-0-tdi-l2h1-dc-trendline-1e-eigenaar.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Kootstertille119 km
Volkswagen Transporter 2.5 TDI 300 High.DC;€ 7.250,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1550980908-volkswagen-transporter-2-5-tdi-300-high-dc.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Nijkerk93 km
Volkswagen Transporter 2.0 TDI L1H1 T800 Baseline;€ 7.450,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1550980028-volkswagen-transporter-2-0-tdi-l1h1-t800-baseline.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Apeldoorn59 km
VOLKSWAGEN TRANSPORTER 2.5 TDI lang ac 130 pk autom;€ 7.450,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1550971581-volkswagen-transporter-2-5-tdi-lang-ac-130-pk-autom.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Vuren128 km
Volkswagen TRANSPORTER AUTOMAAT/ CRUISE/ AIRCO/ APK /LANG;€ 3.495,00;https://www.marktplaats.nl/a/auto-s/bestelauto-s/m1547806758-volkswagen-transporter-automaat-cruise-airco-apk-lang.html?c=1f6123406d618e4dfc07bc3e0818a26e&previousPage=lr;Zoetermeer160 km
