APK tot;Bouwjaar;Brandstof;Carrosserie;Kenteken;Kilometerstand;Kosten p/m;Merk & Model;Motorinhoud;Opties;Prijs;SellersName;Transmissie;Uitvoering;Vermogen;adDate;description;location;saved;url;views;Centrale vergrendeling;USB;Airconditioning;Elektrische ramen;Lichtmetalen velgen;Metallic lak;Trekhaak;Cruise Control;Bluetooth;Radio;ABS;Airbags;Boordcomputer;Schuifdeur;/0;Datum van registratie;Parkeersensor;Alarm;Elektrische buitenspiegels;Topsnelheid;Startonderbreker;Traction-control;Mistlampen;Verwarmde buitenspiegels;Energielabel;Verbruik;Electronic Stability Program (ESP);Bekleding leder;APK;Navigatiesysteem;Climate control;4x4;Parkeerassistent;Parkeercamera;Open dak;Stoelverwarming;Isofix;Stuurwielverwarming;Emergency brake assist;Xenon verlichting;Garantie;Sportpakket;Sportstoelen;Adaptive Cruise Control;Elektrische stoelverstelling;Elektrische achterklep;Adaptieve lichten;Panoramadak;Keyless entry;Spraakbediening;Dodehoekdetectie
03 april 2021;2007;Diesel;70;JZ-201-J;213000;€ 340,04;Volkswagen VOLKSWAGEN;2.461 cc;;10000;job_stoffer;Automaat;.;131;15 mei '20, 18:05; VW T5 rolstoelbus in goede staat. Incl. lift (merk Autolift), ieder jaar gekeurd. Rolstoelvergrendeling + gordels. Naast rolstoelplaats, 1 losse m1 stoel. Apk tot April 2021. 2,5l 5 cilinder. Automaat Bus is officieel herkeurd naar geel kenteken;Putten;3;https://link.marktplaats.nl/m1551243218;349;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30 december 2020;2008;Diesel;Gesloten Wagen;47-VLS-8;215917;;Volkswagen Transporter;1.896 cc;;3250;;Handgeschakeld 5 versnellingen;1.9 TDI 2008 Airco Nieuwe Distrbutie;84;15 mei '20, 18:20; Volkswagen Transporter 1.9 TDI 2008 Airco Nieuwe Distrbutie  Carrosserievorm: Bestelbus Kleur: Wit Cabine: enkel Aantal cilinders: 4 Ledig gewicht: 1.692 kg Max. trekgewicht: 2.200 kg Bekleding: Stof Aantal zitplaatsen: 3 Emissieklasse: Euro 4 Onderhoudsboekjes: Aanwezig Aantal sleutels: 2 BTW: De getoonde prijs is exclusief BTW BTW/marge: BTW verrekenbaar voor ondernemers Motorrijtuigenbelasting: € 104 per kwartaal  Opties en accessoires  Airbag bestuurder Airbag passagier Airconditioning Alarmsysteem Antiblokkeersysteem (ABS) Centrale deurvergrendeling afstandbediening Cruise control Elektrisch bedienbare ramen voor Elektrisch verstelbare buitenspiegels Getint glas Parkeersensoren achter Radio/CD speler Trekhaak Twee achterdeuren   Distributieriem vervangen BJ 213000KM  Wij zijn RDW erkend en kunnen 24 uur per dag overschrijven.  Kom vrijblijvend langs voor een proefrit of een offerte, u bent van harte welkom, ook buiten kantooruren! Wenst u meer informatie dan kunt u ons bellen op het telefoonnummer 06-55124470 of mail naar info@autocentrummaaspoort.nl  Uiteraard is inruil van uw huidige auto bij ons mogelijk.  Graag verwelkomen wij u bij ons in de showroom aan de Goudenheuvel 5 Den bosch . Onze showroom is op afspraak geopend tot 21.00 uur.  Met vriendelijke groet,  Autocentrum Maaspoort  Autocentrum Maaspoort Goudenheuvel 5 5234GA DEN BOSCH Tel: 0655124470 E-mail: Info@autocentrummaaspoort.nl;'s-Hertogenbosch;10;https://link.marktplaats.nl/m1551250946;125;true;;true;true;;;true;true;;true;true;true;;;true;13 februari 2008;true;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2006;Diesel;Gesloten Wagen;69-BX-KD;271029;;Volkswagen Transporter;1.896 cc;;3650;;Handgeschakeld 5 versnellingen;1.9 TDI 300T.....;86;08 mei '20, 18:18; ...€ 3650,- EX BTW......distributie bij 227.000 km vervangen....  Volkswagen Transporter 1.9 TDI 300T.....  Carrosserievorm: Bestelauto Transmissie: 5 versnellingen, Handgeschakeld Kleur: Wit Aandrijving: Voorwielaandrijving Aantal cilinders: 4 Ledig gewicht: 1.692 kg Laadvermogen: 908 kg GVW: 2.600 kg Max. trekgewicht: 2.200 kg Wielbasis: 300 cm Aantal zitplaatsen: 2 BTW: De getoonde prijs is exclusief BTW BTW/marge: BTW verrekenbaar voor ondernemers Motorrijtuigenbelasting: € 104 per kwartaal  Comfort & Interieur Stuurbekrachtiging Stuur verstelbaar  Exterieur Achterklep met ruit Elektronisch sperdifferentieel Warmtewerend glas Zijschuifdeur rechts  Veiligheid ABS Airbag bestuurder Anti Blokkeer Systeem Anti Slip Control Automatisch Sper Differentieel Startblokkering Traction control  Overig 5-versnellingen nationale autopas onderhoudsboekjes aanwezig radio/cd-speler stuurbekrachtiging toerenteller trekhaak   ..DISTRIBUTIE BIJ 227.000 KM VERVANGEN.....Het is niet alleen de bouwkwaliteit waar Duitse auto’s om bekend staan, maar ook de rijkwaliteiten. Dat merkt u achter het stuur van deze Volkswagen Transporter. De aandrijving van deze Volkswagen wordt verzorgd door een viercilinder motor en een handgeschakelde vijfversnellingsbak.  Deze Volkswagen is voorzien van verstelbaar stuur, toerenteller en centrale deurvergrendeling met afstandsbediening.  De nieuwste veiligheidssystemen komen in deze Volkswagen Transporter samen. In een noodsituatie telt elke meter. Het brake assist systeem van deze auto zorgt ervoor dat uw remweg korter wordt.  Wilt u meer weten over deze auto? Neem dan telefonisch contact met ons op......0344-601460......  ......ZIE OOK ONS VERDERE AANBOD VAN AUTO,S.....INRUIL VAN UW HUIDIGE AUTO IS BIJ ONS EVENTUEEL MOGELIJK....TYPE EN SPECIFICATIEFOUTEN ZIJN VOORBEHOUDEN......ONZE OPENINGSTIJDEN ZIJN: MAANDAG T/M VRIJDAG 08.00-17.30 uur.ZATERDAG 09.00 T/M 16.00 uur....ZONDAG GESLOTEN...........................  Zijderveld Auto's De Hofstede 63 4033BV Lienden Tel: 0344-601460 E-mail: info@zijderveldautos.nl;Lienden;3;https://link.marktplaats.nl/m1548271298;173;;;;;;;true;;;true;true;;;true;true;17 maart 2006;;;;146 km/h;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 juli 2020;2008;Diesel;Overige carrosserieën;81-VVZ-2;282000;;Volkswagen Transporter;1.896 cc;;4750;Denise;Automaat 5 versnellingen;BESTEL 1.9 D 62KW;84;23 apr. '20, 11:16; Nieuwe advertentie vanaf 10-05 Dus info in de advertentie klopt niet!!  Bouwjaar 2009 Automaat 6 versnellingen!!! Net nieuwe apk Beide kanten schuifdeur! Raampje in de laadruimte. Comfort stoel en 2-zits bankje erin gezet!  Voorzien van airco, cruisecontrol, mistlampen, parkeersensoren, LM velgen en trekhaak.  Minpuntjes: Helaas recent schade gereden rechtsachter. Sinds de nieuwe apk erop zit brandt het airbag lampje.  Verder hele nette bus waar je voorlopig wel even zorgeloos in kunt rijden. Hij is hiervoor van de hondenbrigade geweest dus is goed onderhouden. Er is ook niet in gerookt.  Hij hoeft niet beslist weg maar ik zou opzich wel een grotere bus willen hebben. Onzinbiedingen reageer ik niet op.;;24;https://link.marktplaats.nl/m1540674703;2360;true;;true;true;true;;true;true;;true;;true;;true;true;;true;;true;;;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2010;Diesel;Overige carrosserieën;29-LGH-6;236261;€ 380,91;Volkswagen Transporter;1.968 cc;;10950;;Automaat 7 versnellingen;Kombi 2.0 TDI L1H1;179;02 mei '20, 09:20;" Elektrisch-pakket. Een zeer nette Volkswagen Transporter Kombi 2.0 tdi 180pk Automaat met Airco Cruise controle Trekhaak 2500kg Parkeerhulp achter Btw en Bpm vrij ideaal voor ombouw camper. Motor is...  Volkswagen Transporter Kombi 2.0 TDI L1H1 180pk Airco Btw / bpm vrij Nieuwe motor  Algemene gegevens  Tellerstand: 236.261 km Carrosserievorm: Personenbus Aantal deuren: 5 Brandstofsoort: Diesel Bouwjaar: aug 2010 Transmissie: 7 versnellingen, Automaat Kleur: Wit Interieurkleur: Antraciet Bekleding: Skai Onderhoudsboekjes: Aanwezig (dealer onderhouden)  Technische gegevens  Motorinhoud: 1.968 cc Aantal cilinders: 4 Vermogen: 132 kW (179 PK) Topsnelheid: 191 km/u Acceleratie (0-100): 10,0 s Wielbasis: 300 cm Ledig gewicht: 1.876 kg Laadvermogen: 1.124 kg GVW: 3.000 kg Max. trekgewicht: 2.500 kg Energielabel: D  Functionaliteit  Aantal zitplaatsen: 9 Afmetingen (LxBxH): 499 x 190 x 199 cm Lengte/hoogte: L1H1  Financiële gegevens  Motorrijtuigenbelasting: € 546 - 582 per kwartaal BTW/Marge: Marge (Bedrijven kunnen geen BTW terugvorderen van de belasting) Oorspronkelijke cataloguswaarde: € 63.423  Optiepakketten Elektrisch-pakket (Buitenspiegels elektrisch verstel- en verwarmbaar, Centrale deurvergrendeling met afstandsbediening, Elektrische ramen voor)  Exterieur Achterdeuren met ruiten Achterklep met ruit Achterruitwisser Buitenspiegels elektrisch verstel- en verwarmbaar Centrale deurvergrendeling Centrale deurvergrendeling met afstandsbediening Elektronisch Sper Differentieel Getint glas Mistlampen voor Parkeersensor achter Trekhaak Zijschuifdeur rechts  Infotainment Radio cd speler Radiovoorbereiding  Interieur 12Volt aansluiting Airco Armsteun voor Boordcomputer Cruise control Cruisecontrol Elektrische ramen voor Lendesteunen (verstelbaar) Stuurbekrachtiging Stuur verstelbaar Voorstoelen in hoogte verstelbaar  Veiligheid Airbag bestuurder Airbag passagier Alarm klasse 1(startblokkering) Anti Blokkeer Systeem Anti doorSlip Regeling Derde remlicht Elektronisch Stabiliteits Programma  Overige Roetfilter   Een zeer nette Volkswagen Transporter Kombi 2.0 tdi 180pk Automaat met Airco Cruise controle Trekhaak 2500kg Parkeerhulp achter Btw en Bpm vrij ideaal voor ombouw camper. Motor is compleet vervangen bij 199.000 km  Inruil mogelijk  Apk nieuw bij aflevering  Prijs is marge komt geen btw en of bpm meer overheen  Bezichtiging uitsluitend op afspraak!!!  Voor meer informatie kunt u contact opnemen met: Edward Schoot Uiterkamp | Tel. 0546-767077 | verkoop@danipersonenautos.nl  Dani Personenauto’s B.V. Zandhuisweg 39 7665 SH Albergen   Wij kunnen zelf tenaamstellen elke werkdag tot 21:00 en in het weekend tot 18:00  Disclaimer; Ondanks de zorg die door ons aan de correcte invoer van de gegevens van de aangeboden occasions en de gegevens van nieuwe auto's, merken, types, nieuws etc. besteed wordt, kan Dani Automobielen B.V. niet verantwoordelijk en/of aansprakelijk gehouden worden voor eventuele fouten, onmissies of onvolkomenheden in de gegevens. Bezoekers en/of gebruikers van onze site kunnen op geen enkele wijze rechten ontlenen aan de door ons aangeboden informatie en prijzen, of de gevolgen.  WIE ZIJN WIJ? Dani Autobedrijven is een groeiend autobedrijf dat zich richt op de wensen van de klant. Al onze auto's worden over het algemeen ingekocht bij merkdealers en leasemaatschappijen.We staan voor kwaliteit en eerlijkheid. Het bedrijf is in 2004 opgericht en inmiddels bestaat ons bedrijf uit twee vestigingen in het Twentse dorp Albergen. In de vestiging aan de Ootmarsumseweg 110 draait alles om bedrijfsauto’s en in het bedrijfspand aan de Zandhuisweg 39 kunnen we u helpen als het om personenauto’s en personenbussen gaat.  WAT HEEFT ONS BEDRIJF IN HUIS? Verkoop * in- en verkoop van bedrijfsauto's * in- en verkoop van personenauto's * in- en verkoop van personenbussen tot 9 personen  Werkplaats * We hebben een eigen werkplaats voor onderhoud en reparaties. In deze werkplaats kunnen we al het onderhoud aan uw auto doen, voeren wij diverse reparaties uit en lossen we storingen op. * VW/Audi Servicepunt voor al uw reparaties, storingen en diagnoses * Versnellingsbakrevisie * Ruitreparatie of ruitvervanging * Automaatspoelmachine voor optimaal onderhoud aan uw automatische versnellingsbak * Airco Service Station * Taxatie en herstel van schade aan uw auto (inclusief gratis vervangend vervoer) * Eigen afsleepdienst  Onze keurmerken * RDW-erkenning * APK Keurstation * LPK Keurstation voor de keuring van laadkleppen * Nationale Auto Pas (NAP), registratie van kilometerstanden  EEN WOORD VAN DE EIGENAAR Wat fijn dat u interesse heeft in één van onze auto’s. Hopelijk zie ik u snel in één van onze bedrijven. Ik ben Rolf Mensink en ben in 1983 geboren. Al sinds met 11de jaar ben ik actief in het autovak. Op die jonge leeftijd werkte ik in één van de autobedrijven van mijn oom. Ik heb de opleiding tot automonteur en APK Keurmeester gevolgd. Na deze opleidingen heb ik ruim vier jaar bij een VW/Audi-dealer in de buurt gewerkt. In mijn ogen kon ik echter meer en daarom heb ik de stap gezet om een eigen bedrijf te beginnen. In een kleine boerenschuur in het buitengebied ben ik begonnen met reparatiewerkzaamheden en het verkopen van auto’s. Inmiddels, ruim 15 jaar later, bestaat ons bedrijf uit twee vestigingen en heb ik een prachtige team aan collega’s. Iedere dag helpen ze me weer om voor u klaar te staan zodat u tevreden de deur uit gaat.  Graag tot ziens bij Dani Bedrijfsauto's of Dani Personenauto's.  Met vriendelijke groet, Team Dani Autobedrijven  Dani Autobedrijven B.V. Ootmarsumseweg 110 7665SE ALBERGEN Tel: 0546-767066 E-mail: verkoop@daniautomobielen.nl";Albergen;6;https://link.marktplaats.nl/m1545058586;376;true;;true;true;;;true;true;;true;true;true;true;true;true;13 augustus 2010;true;true;true;191 km/h;true;true;true;true;D;12,82 km/l;true;;;;;;;;;;;;;;;;;;;;;;;;
26 november 2020;2008;Diesel;Gesloten Wagen;45-VPP-4;197500;;Volkswagen VOLKSWAGEN;2.461 cc;;14500;CamperVisie VOF;Automaat;.;131;24 mrt. '20, 08:06; VW T5 - Transporter - Automaat - Lang - DC - Airco - Cruise Control  Volkswagen Transporter in werkelijke TOPSTAAT! • Kenteken: 45 -VVP- 4 • APK tot: 26-1-2020 • Tellerstand: 197.500 • Carrosserievorm: Bestel Lang L2H1 • Aantal deuren: 5 • Brandstofsoort: Diesel • Bouwjaar: 2008 • Transmissie: Automaat • Kleur: grijs Metallic • Motorinhoud: 2461 cc (5 cylinder) • Ledig gewicht: 1905 kg • Aantal zitplaatsen: 5 • Verbruik: 7.9 l/100 km • Marge  • Aantal sleutels: 2 • Onderhoudshistorie aanwezig: Ja (volledig NAP aantoonbaar)  • Airco • Comfortstoel(en) met armleuningen • Lichtmetalen velgen • Parkeersensor achter • Voorruit met zonneband • vanaf B-stijl volledig privacy glas rondom  Pakket: Comfort pakket • Armsteun voor • Buitenspiegels elektrisch verstel- en verwarmbaar  • Centrale deurvergrendeling met afstandsbediening • Elektrische ramen voor • Mistlampen voor  Pakket: Elektrisch pakket • Buitenspiegels elektrisch inklapbaar • Buitenspiegels in carrosseriekleur  Exterieur • Achterdeuren • Bumpers in carrosseriekleur • Lichtmetalen velgen 16 inch • Metaalkleur • Trekhaak 7 polig • Zijschuifdeur rechts  Interieur • Cruise control • Lederen stuurwiel • Stuurbekrachtiging  Overige • ASR • ABS  NOOIT in gerookt,  ALLE Boekjes aanwezig NAP  ALLE keuringen toegestaan!  Levering met garantie!  Bel voor meer info en of bezichtiging (uitsluitend op afspraak)  040- 2989343 of 06 54961444.;;8;https://link.marktplaats.nl/m1528563413;994;;;;true;true;;true;true;;;true;;;;true;;true;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 april 2021;2009;Diesel;Gesloten Wagen;62-VXT-8;369432;;Volkswagen Transporter;2.460 cc;;5845;;Handgeschakeld 6 versnellingen;2.5 TDI 130PK LANG LUXE DUBBELE CABINE, LEDER,;131;07 mei '20, 13:47; Volkswagen Transporter 2.5 TDI 130PK LANG LUXE DUBBELE CABINE, LEDER,  Algemene gegevens  Tellerstand: 369.432 km Carrosserievorm: Bestelauto Aantal deuren: 4 Brandstofsoort: Diesel Bouwjaar: jan 2009 Transmissie: Handgeschakeld Bekleding: Leder  Technische gegevens  Motorinhoud: 2.460 cc Aantal cilinders: 5 Vermogen: 96 kW (131 PK) Wielbasis: 340 cm Ledig gewicht: 2.020 kg Laadvermogen: 780 kg GVW: 2.800 kg  Functionaliteit  Aantal zitplaatsen: 6  Financiële gegevens  Motorrijtuigenbelasting: € 121 per kwartaal BTW/Marge: excl. BTW  Exterieur Achterklep met ruit Buitenspiegels elektrisch verstel- en verwarmbaar Buitenspiegels elektrisch verstelbaar Buitenspiegels in carrosseriekleur Buitenspiegels verwarmbaar Bumpers in carrosseriekleur Cv met afstandsbediening Elektronisch Sper Differentieel Getint glas Lichtmetalen velgen Metaalkleur Mistlampen voor mistlampen voor Parkeersensor achter Side bars Trekhaak Warmtewerend glas Zijschuifdeur rechts  Infotainment Audio installatie  Interieur Airco Armsteun Armsteun voor Betonplex in laadruimte Boordcomputer Cruise control Cruisecontrol Lederen bekleding Stuurbekrachtiging Stuur verstelbaar Voorstoelen in hoogte verstelbaar  Veiligheid Airbag bestuurder Alarm klasse 1(startblokkering) Anti Blokkeer Systeem Anti doorSlip Regeling Derde remlicht Parkeersensoren   Multimerk | Auto’s B.V. is hét adres voor premium bedrijfswagens. Wij zijn gespecialiseerd in de Volkswagen Transporter en de Mercedes-Benz Vito.  Ondernemer en geïnteresseerd in financial lease? We verrassen u graag met een scherp aanbod. Stuur een WhatsAppbericht of bel naar: 06 - 204 986 59. De getoonde prijs betreft een internetprijs zonder afleverpakket. Informeer gerust naar onze voordelige afleverpakketten.  LET OP: Wilt u langskomen? Bel dan altijd vooraf om teleurstellingen te voorkomen.  Hoewel deze pagina met de grootste zorg is samengesteld en regelmatig wordt geactualiseerd, kan aan de informatie op deze site geen rechten worden ontleend.;Drachten;10;https://link.marktplaats.nl/m1547771281;503;;;true;;true;true;true;true;;true;true;;true;true;true;06 januari 2009;true;true;true;;true;true;true;true;;;;true;;;;;;;;;;;;;;;;;;;;;;;
;2005;Diesel;Gesloten Wagen;68-BX-KJ;393776;;Volkswagen Transporter;1.896 cc;;1899;;Handgeschakeld;1.9 TDI 300 NIEUWE APK Stucadoors Bus;105;07 mei '20, 10:34; Volkswagen Transporter 1.9 TDI 300 NIEUWE APK Stucadoors Bus  Carrosserievorm: Bestelauto Transmissie: 5 versnellingen, Handgeschakeld Kleur: Wit Aandrijving: Voorwielaandrijving Aantal cilinders: 4 Ledig gewicht: 1.800 kg Laadvermogen: 1.108 kg GVW: 2.800 kg Wielbasis: 300 cm Bekleding: Stof Interieurkleur: Lichtgrijs Aantal zitplaatsen: 3 Aantal sleutels: 2 BTW/marge: BTW niet verrekenbaar voor ondernemers (margeregeling) Motorrijtuigenbelasting: € 109 per kwartaal  Comfort & Interieur Stuurbekrachtiging Stuur verstelbaar  Exterieur Achterklep met ruit Elektronisch sperdifferentieel Warmtewerend glas Zijschuifdeur rechts  Veiligheid ABS Airbag bestuurder Anti Blokkeer Systeem Anti Slip Control Automatisch Sper Differentieel Startblokkering Traction control   Eventueel Zondags open op Afspraak Mob.06-53266648  Autobedrijf F. Smits Hoofdstraat 38 5481 AH Schijndel Telefoon:073-5492620 Email:info@autobedrijffsmits.nl  Autobedrijf F. Smits Hoofdstraat 38 5481AH Schijndel Tel: 073-5492620 E-mail: info@autobedrijffsmits.nl;Schijndel;1;https://link.marktplaats.nl/m1547685594;222;;;;;;;;;;;true;;;true;true;09 maart 2005;;;;;true;true;;;;;;;Bij aflevering;;;;;;;;;;;;;;;;;;;;;;
26 augustus 2020;2010;Diesel;Overige carrosserieën;37-NFX-6;323192;€ 345,01;Volkswagen Transporter;1.968 cc;;7995;;Handgeschakeld 5 versnellingen;L2H1 30 2.0 TDI 84pk 9 PERSOONS;84;30 apr. '20, 11:57; Volkswagen Transporter L2H1 30 2.0 TDI 84pk 9 PERSOONS  Carrosserievorm: Personenbus Transmissie: 5 versnellingen, Handgeschakeld Kleur: Grijs metallic Aantal cilinders: 4 Ledig gewicht: 1.876 kg Max. trekgewicht: 2.200 kg Max. dakbelasting: 100 kg Afmetingen (LxBxH): 5292 x 1904 x 1990 cm Wielbasis: 3.400 cm Tankinhoud: 80 liter Inhoud laadruimte: 6.700/6.700 l Acceleratie (0-100): 21,1 s Topsnelheid: 146 km/u Bekleding: Stof Interieurkleur: darkGray Aantal zitplaatsen: 9 Brandstofverbruik in de stad: 9,5 l/100km (1 op 10,5) Brandstofverbruik op de snelweg: 6,1 l/100km (1 op 16,4) CO2 uitstoot: 193 g/km Algemene staat: goed Technische staat: goed Optische staat: goed Aantal sleutels: 3 BTW/Marge: incl. BTW (bedrijven kunnen de BTW aftrekken) Motorrijtuigenbelasting: € 546 - 582 per kwartaal Bandenmaat: 205/65R16  Opties en accessoires  2 airbags Airbag bestuurder Airbag passagier Antiblokkeersysteem (ABS) Boordcomputer Elektrisch verstelbare buitenspiegels Hoofdsteunen achter Lendesteun verstelbaar Mistlampen achter Pollenfilter Ruitenwisser achter Sperdifferentieel Stabiliteitsregeling (ESP) Startonderbreking Stuurbekrachtiging Stuur in hoogte verstelbaar Wegrijassistent helling   9 PERSOONS L2H1 P ERSONOONS 9 PERSONEN LONG LANG PERSONENBUS BESTELAUTO BESTELWAGEN BEDRIJFSWAGEN 2.0TDI 1.9 TDI BESTELWAGEN BESTELBUS BESTELAUTO LONG MODEL TDI Airco 9 zitters 8 persoons 8 personen  Verkoop Je Auto Zonder Gedoe? Binnen 2 Uur Gratis Uw Auto Verkopen! Eigen Ophaal Service Door Heel Nederland! Wij Kopen Ook Schadeauto's, Defecte Auto, Motor Schade , Taxi En Verlopen Apk Voor Export!  Auto Verkoop Plaza Ambachtsstraat 11A 3861RH NIJKERK Tel: 0332048080 E-mail: info@autoverkoopplaza.nl;Nijkerk;2;https://link.marktplaats.nl/m1544106018;173;;;;;;true;;;;;true;true;true;;true;26 augustus 2010;;;true;146 km/h;true;;;;C;13,7 km/l;true;;;;;;;;;;;;;;;;;;;;;;;;
08 oktober 2020;2008;Diesel;Gesloten Wagen;15-VVR-6;290252;;Volkswagen Transporter;2.460 cc;;3950;Autobedrijf G Dol bv;Handgeschakeld 6 versnellingen;2.5 TDI 300;131;18 mei '20, 10:03;"Volkswagen Transporter 2.5 TDI 300



Kenteken: 15-VVR-6
APK tot: 08-10-2020
Tellerstand: 290252 KM
Carrosserievorm: Bestel
Aantal deuren: 4
Brandstofsoort: Diesel
Bouwjaar: 2008
Transmissie: Handgeschakeld
Kleur: blauw
Motorinhoud: 2460 cc
Aantal cilinders: 5
Motorcode: AXD, BNZ
Vermogen: 96 kW
Ledig gewicht: 1767 kg
Aantal zitplaatsen: 3
BTW/Marge: Marge, de BTW is niet aftrekbaar
Motorrijtuigenbelasting: € 112 per kwartaal



Pakket: Comfort pakket
Achterklep met ruit
Airco

Pakket: Van of the Year pakket
Boordcomputer

Pakket: 60 Edition leer pakket
Lederen bekleding

Exterieur
Warmtewerend glas
Zijschuifdeur rechts

Interieur
Stuur verstelbaar
Stuurbekrachtiging

Overige
ASR
Anti Blokkeer Systeem
Anti doorSlip Regeling
Bestuurdersairbag
ESD
Elektronisch Sper Differentieel
Passagiersairbag

Veiligheid
Alarm klasse 1(startblokkering)



bijgeluid in motor.
niet zeuren voor de laatste prijs dit is de prijs


Autobedrijf G Dol bv

Rijnsburgerweg 48a

2215RC Voorhout

0252-251142

gdol67@msn.com";Voorhout;0;https://link.marktplaats.nl/m1552389353;35;;;true;;;;;;;;true;true;true;true;true;08 oktober 2008;;true;;;true;true;;;;;;true;;;;;;;;;;;;;;;;;;;;;;;
